Curr_Client_ID,Product_ID,OD_Order_ID
0820906638,91,81
9333647112,96,88
4234976857,90,14
5729640811,40,38
3584752663,13,47
6297027110,87,55
5616161071,42,47
6297027110,23,36
9333647112,96,64
6757843331,63,89
5813481834,69,98
9311431893,22,35
8338460257,55,86
5729640811,14,92
8743133401,3,7
7260111453,94,61
3970847001,72,32
8245383988,56,25
5249175821,68,31
9333647112,96,27
3368433717,4,90
7075370340,21,40
8601591876,79,50
3584752663,46,29
6430734196,48,99
2980623067,65,12
0576858749,10,18
4234976857,90,16
4474591410,2,37
3970847001,72,92
6115427428,67,5
3368433717,76,25
6056677508,34,17
4841950303,88,29
8338460257,39,91
8070776366,7,7
7144081314,12,11
4234976857,90,15
3584752663,16,6
3970847001,72,27
8338460257,15,8
6297027110,82,93
4234976857,8,43
8082041714,58,6
7083066353,51,28
6430734196,97,61
3970847001,72,59
0933692323,98,19
3584752663,16,20
7083066353,33,34
5575169839,83,42
3970847001,72,21
6297027110,23,12
4841950303,73,56
8449698219,62,39
1860269087,5,2
8977814073,54,53
2980623067,36,12
6430734196,97,77
5729640811,40,79
7083066353,25,83
8338460257,39,68
9333647112,96,53
2663860247,32,93
3368433717,4,78
8888818960,19,23
1885918755,28,64
4474591410,2,96
7144081314,12,26
6056677508,34,53
6115427428,67,89
8338460257,55,45
3584752663,46,25
1860269087,57,3
7083066353,33,64
6297027110,87,1
0148753744,93,61
7083066353,9,53
7750386580,35,27
6115427428,67,99
8338460257,66,16
7083066353,61,98
1885918755,28,28
7260111453,94,62
2948027217,38,27
5625632227,49,47
4841950303,73,80
6757843331,63,32
7144081314,92,19
8338460257,55,86
1860269087,57,45
7083066353,9,60
3584752663,16,30
8338460257,39,76
0820906638,91,63
4234976857,90,77
0820906638,52,2
3852059984,75,35
8082041714,58,64
6297027110,82,46
