Curr_Client_ID,Client_Company_ID,Service_ID,Serv_Company_ID
9467661993,9134530606,4976560562,3104705100
7468186278,1262586062,2146349026,3104705100
6664649489,7370314812,7034880573,3104705100
9429212265,4087716309,4451940362,3104705100
775550353,4955806457,8465821836,3104705100
1265294704,8582387245,4409227548,3104705100
9078229721,4084794120,4457892300,3104705100
4788639181,2099173958,7815675522,3104705100
267345917,8231266844,2944473921,3104705100
6895570020,2798444527,7064737892,3104705100
5342435234,4752739259,7614860470,3104705100
2104432235,3666413048,8129916800,3104705100
3654911803,9821053580,1658613899,3104705100
4587202983,5803701521,4013436779,3104705100
1292725192,9528989446,9882148395,3104705100
1836055536,5401776284,3564245944,3104705100
4900207969,9388551869,4502083208,3104705100
4762453366,7503367997,5337758691,3104705100
280881169,8292934057,6910897846,3104705100
6743546569,7814993946,3780151359,3104705100
9691562529,1590499735,4550784326,3104705100
934193630,3954047861,8100902534,3104705100
6969232263,6091179942,6455129059,3104705100
9874873604,9735432668,1164397826,3104705100
4133836626,217680364,8235434148,3104705100
5884506260,2392670897,7542145533,3104705100
920935192,9415969504,3383146766,3104705100
9516262457,4912704458,8721613753,3104705100
5128406008,4914419610,9307407150,3104705100
1469214873,5408867110,1827929553,3104705100
9572590979,4595879032,117730785,3104705100
617541159,1386755222,8456321192,3104705100
8710416889,5437962347,5650803048,3104705100
7923583056,7333417514,3446849440,3104705100
2641745550,4883319008,2444085302,3104705100
9187020556,7614794109,1802782729,3104705100
2688993151,8023036165,8077683126,3104705100
3845496061,3015197401,7698644421,3104705100
9064744149,1748122282,2811577637,3104705100
7561109407,8952458613,9317200877,3104705100
2149725401,9007550101,3488885216,3104705100
4822461327,9350940434,8935655813,3104705100
9652783064,4527553127,8960055611,3104705100
6477074524,1214596819,1744090467,3104705100
7666795068,9415046937,3661541358,3104705100
1958031631,4667311177,4747725180,3104705100
5330803322,508979900,8801009348,3104705100
316160024,8724468223,775451037,3104705100
8914181707,7963915467,9855773217,3104705100
700120343,277005736,2632226007,3104705100
1103865749,4637651980,3386324452,3104705100
124599532,8670682494,4828714693,3104705100
8457926322,9161831352,2591101353,3104705100
3882304685,2734533901,5619806669,3104705100
9572221698,388601647,3410679820,3104705100
7287503204,2292441756,2551004403,3104705100
4985292400,3945013690,8857723798,3104705100
3288442019,6875380668,8656946854,3104705100
667453369,4506509951,2085636586,3104705100
4018821344,9316935113,1360092595,3104705100
7330047384,1581184158,5343613470,3104705100
8533194579,8357805604,8891750204,3104705100
6418489780,1562579835,6024378335,3104705100
994431473,8686869378,6338502683,3104705100
7729088584,6296947844,387798374,3104705100
9148178551,9169393893,2025231571,3104705100
1422982750,1092440208,6330678650,3104705100
2681670667,6018780747,9302207226,3104705100
9740901948,5200476968,7127296987,3104705100
6639733382,8540115174,4210828092,3104705100
1283710765,9541545106,5195827346,3104705100
1834508770,2744231037,5335662182,3104705100
8510683441,1382306547,3798597758,3104705100
1034074180,4079076924,7999777080,3104705100
3129976000,9266006475,3117065865,3104705100
6086726213,5057944991,1765264774,3104705100
1708061614,6949584326,6105638507,3104705100
9044477420,9176126927,6387829496,3104705100
7968983878,5372970898,5808687276,3104705100
4126237259,597726647,4398907750,3104705100
6354571686,2136848577,2002703817,3104705100
2999813961,9359370029,1276151012,3104705100
4973144177,9356820821,5110667497,3104705100
2986648800,2937442161,518270165,3104705100
7255363261,5210102513,9873063404,3104705100
5372592028,3457946647,836986644,3104705100
7932134218,5158698260,4940220885,3104705100
6803107973,2772874214,2745897500,3104705100
4379265374,8909369256,2318810168,3104705100
1277412774,4568671914,7807563176,3104705100
1028829108,4690768943,7978270459,3104705100
2482304504,8312003495,1863209514,3104705100
724605517,6534568802,8972845876,3104705100
8189098039,822259613,3173885295,3104705100
8285427528,2290534536,6744558749,3104705100
3421413339,3201643394,9120744218,3104705100
723021244,9298565526,2805336747,3104705100
186753888,390345164,1077756577,3104705100
8674939457,4996464089,9906461233,3104705100
5810139965,115318763,716880148,3104705100
