Service_Name,Price,Discontinued,Service_ID,Serv_Company_ID
Quo Lux,"$14,460.80 ",FALSE,4976560562,3104705100
Flowdesk,"$17,279.84 ",FALSE,2146349026,3104705100
Stronghold,"$19,779.07 ",FALSE,7034880573,3104705100
Pannier,"$14,396.61 ",TRUE,4451940362,3104705100
Job,"$14,065.35 ",FALSE,8465821836,3104705100
Vagram,"$11,779.58 ",TRUE,4409227548,3104705100
Alphazap,"$17,640.67 ",FALSE,4457892300,3104705100
Job,"$18,436.14 ",TRUE,7815675522,3104705100
Overhold,"$16,010.28 ",FALSE,2944473921,3104705100
Stringtough,"$19,756.73 ",TRUE,7064737892,3104705100
Namfix,"$18,444.93 ",FALSE,7614860470,3104705100
Mat Lam Tam,"$17,574.03 ",TRUE,8129916800,3104705100
Tin,"$11,410.56 ",FALSE,1658613899,3104705100
Viva,"$15,912.01 ",FALSE,4013436779,3104705100
Greenlam,"$12,369.33 ",TRUE,9882148395,3104705100
Zamit,"$11,075.47 ",FALSE,3564245944,3104705100
Zathin,"$11,634.55 ",TRUE,4502083208,3104705100
Zaam-Dox,"$10,382.06 ",FALSE,5337758691,3104705100
Holdlamis,"$15,999.28 ",FALSE,6910897846,3104705100
Cardify,"$10,949.32 ",FALSE,3780151359,3104705100
Alpha,"$18,669.21 ",TRUE,4550784326,3104705100
Sonsing,"$12,981.71 ",FALSE,8100902534,3104705100
Bamity,"$19,661.73 ",TRUE,6455129059,3104705100
Kanlam,"$15,868.77 ",TRUE,1164397826,3104705100
Home Ing,"$16,061.24 ",FALSE,8235434148,3104705100
Alphazap,"$15,153.73 ",FALSE,7542145533,3104705100
Biodex,"$14,388.47 ",FALSE,3383146766,3104705100
Rank,"$12,941.92 ",TRUE,8721613753,3104705100
Home Ing,"$13,602.83 ",FALSE,9307407150,3104705100
Quo Lux,"$16,777.05 ",FALSE,1827929553,3104705100
It,"$13,517.91 ",TRUE,117730785,3104705100
Voltsillam,"$15,278.15 ",TRUE,8456321192,3104705100
Y-find,"$19,699.96 ",FALSE,5650803048,3104705100
Aerified,"$16,669.56 ",FALSE,3446849440,3104705100
Zathin,"$12,507.11 ",FALSE,2444085302,3104705100
Tresom,"$18,075.43 ",FALSE,1802782729,3104705100
Holdlamis,"$14,959.25 ",TRUE,8077683126,3104705100
Stringtough,"$15,001.73 ",TRUE,7698644421,3104705100
Regrant,"$12,384.64 ",FALSE,2811577637,3104705100
Holdlamis,"$12,707.03 ",TRUE,9317200877,3104705100
Matsoft,"$15,617.81 ",FALSE,3488885216,3104705100
Trippledex,"$18,255.22 ",FALSE,8935655813,3104705100
Latlux,"$19,744.09 ",TRUE,8960055611,3104705100
Stringtough,"$10,434.03 ",TRUE,1744090467,3104705100
Voltsillam,"$12,927.95 ",FALSE,3661541358,3104705100
Flexidy,"$12,183.57 ",FALSE,4747725180,3104705100
Zaam-Dox,"$15,456.44 ",TRUE,8801009348,3104705100
Veribet,"$19,930.98 ",TRUE,775451037,3104705100
Regrant,"$14,124.04 ",FALSE,9855773217,3104705100
Y-Solowarm,"$18,250.33 ",FALSE,2632226007,3104705100
Flexidy,"$10,487.62 ",FALSE,3386324452,3104705100
Solarbreeze,"$12,620.67 ",FALSE,4828714693,3104705100
Daltfresh,"$12,724.95 ",FALSE,2591101353,3104705100
Transcof,"$12,277.63 ",FALSE,5619806669,3104705100
Solarbreeze,"$19,633.07 ",FALSE,3410679820,3104705100
Sonair,"$18,763.64 ",TRUE,2551004403,3104705100
Trippledex,"$11,011.53 ",TRUE,8857723798,3104705100
Sub-Ex,"$14,802.94 ",TRUE,8656946854,3104705100
Toughjoyfax,"$19,690.20 ",FALSE,2085636586,3104705100
Bytecard,"$12,535.21 ",TRUE,1360092595,3104705100
Wrapsafe,"$19,928.18 ",FALSE,5343613470,3104705100
Daltfresh,"$12,958.99 ",FALSE,8891750204,3104705100
Domainer,"$17,042.71 ",FALSE,6024378335,3104705100
Domainer,"$16,409.57 ",TRUE,6338502683,3104705100
Alpha,"$13,049.31 ",FALSE,387798374,3104705100
Tres-Zap,"$12,130.77 ",TRUE,2025231571,3104705100
Andalax,"$17,614.58 ",FALSE,6330678650,3104705100
Bytecard,"$12,009.25 ",TRUE,9302207226,3104705100
Latlux,"$19,748.23 ",TRUE,7127296987,3104705100
Sonair,"$10,691.84 ",FALSE,4210828092,3104705100
Flowdesk,"$16,526.42 ",TRUE,5195827346,3104705100
Bamity,"$12,409.60 ",TRUE,5335662182,3104705100
Stringtough,"$19,257.89 ",TRUE,3798597758,3104705100
Treeflex,"$14,784.98 ",FALSE,7999777080,3104705100
Voltsillam,"$13,721.92 ",FALSE,3117065865,3104705100
Subin,"$10,632.00 ",TRUE,1765264774,3104705100
Stronghold,"$14,954.07 ",FALSE,6105638507,3104705100
Namfix,"$14,954.31 ",TRUE,6387829496,3104705100
Quo Lux,"$15,794.09 ",FALSE,5808687276,3104705100
Bigtax,"$18,470.04 ",TRUE,4398907750,3104705100
Sonsing,"$12,113.29 ",FALSE,2002703817,3104705100
Andalax,"$19,824.42 ",FALSE,1276151012,3104705100
Span,"$18,741.97 ",FALSE,5110667497,3104705100
Voyatouch,"$12,579.74 ",FALSE,518270165,3104705100
Stim,"$19,942.79 ",FALSE,9873063404,3104705100
Y-Solowarm,"$14,834.40 ",FALSE,836986644,3104705100
Greenlam,"$18,205.24 ",TRUE,4940220885,3104705100
Redhold,"$14,412.68 ",FALSE,2745897500,3104705100
Zathin,"$11,271.12 ",FALSE,2318810168,3104705100
Lotlux,"$11,582.71 ",FALSE,7807563176,3104705100
Tres-Zap,"$10,103.58 ",TRUE,7978270459,3104705100
Cardguard,"$15,084.98 ",FALSE,1863209514,3104705100
Veribet,"$16,233.08 ",FALSE,8972845876,3104705100
Sonair,"$11,709.84 ",FALSE,3173885295,3104705100
Temp,"$15,262.25 ",TRUE,6744558749,3104705100
Veribet,"$11,384.85 ",FALSE,9120744218,3104705100
Vagram,"$19,145.35 ",FALSE,2805336747,3104705100
Fixflex,"$17,375.39 ",TRUE,1077756577,3104705100
Zaam-Dox,"$15,509.84 ",FALSE,9906461233,3104705100
Zamit,"$19,875.54 ",FALSE,716880148,3104705100
