Client_Company_ID,Curr_Client_ID
8221336742,2877631583
0354062247,8070776366
0117885231,5729640811
3311314352,1983851493
7298631799,6572890732
1443815381,0779333187
3940815284,5625632227
7751096276,4841950303
0058182292,3970847001
2566220484,7131907812
2668223466,8789804791
5966730830,7083066353
0354062247,8070776366
3124244036,8601591876
4593283469,7260111453
7579530775,4675014690
9794150150,0148753744
5966730830,7083066353
6909721683,3878675763
9633968585,5622977533
2008385272,0291555292
7579530775,4675014690
2695281234,1741023041
2520556579,9839136070
6022792207,4637685850
5842450305,7075370340
0294584676,2832729541
7751096276,4841950303
0205897797,6115427428
2008385272,0291555292
0205897797,6115427428
1100216200,5813481834
1273487656,6297027110
9280746839,2842991656
5842450305,7075370340
4593283469,7260111453
0752579673,5066678867
9794150150,0148753744
9747547120,8743133401
8658742806,5091548106
7539776684,2948027217
7579530775,4675014690
0331408376,7984438315
4986474391,1428343040
8633580462,3584752663
7756205375,3432977689
9237259360,1541996798
5918451528,5850271724
8294573930,6757843331
2008385272,0291555292
0752579673,5066678867
7280282040,5616161071
7579530775,4675014690
8633580462,3584752663
6141678424,3800052946
5499328900,7459827118
9793428120,0007355165
0135042828,8350963042
7813300424,2063107297
4959393319,5033676806
9615832286,1804381713
1100216200,5813481834
5842450305,7075370340
3936392323,6430734196
8359815313,3852059984
3936392323,6430734196
3124244036,8601591876
2695281234,1741023041
3741490229,0933692323
2520556579,9839136070
0354062247,8070776366
2668223466,8789804791
8411195635,2980623067
2211515959,9733667021
7813300424,2063107297
1443815381,0779333187
4489465246,2432445252
2592301453,9311431893
0752579673,5066678867
4028290848,1046842978
3936392323,6430734196
9348186906,2663860247
9280746839,2842991656
4489465246,2432445252
4956594925,9460431712
7751096276,4841950303
3936392323,6430734196
2831084342,6759291557
1443815381,0779333187
6022792207,4637685850
4519922909,5575169839
3393666754,2841698440
4363212918,0820906638
2008385272,0291555292
7539776684,2948027217
3562369980,6239349380
0810256975,1984543229
2695281234,1741023041
1273487656,6297027110
7692644594,8449698219
